feature,importance
floor_area_sqm,0.42680361808917966
pt_time_to_cbd_min_adj,0.1701014283597161
year,0.1310381342566641
lease_commence_year,0.09439915833593329
pt_time_to_cbd_min,0.011415262581707138
dist_to_cbd_km,0.01122329337143202
drive_time_to_cbd_min,0.010646038840210988
remaining_lease_years,0.009435729457533307
dist_to_nearest_top_secondary_km,0.00912192453942752
town_total_txn,0.008755410740943725
avg_floor,0.007505367696524891
storey_avg,0.00743390142280509
town_year_txn,0.006928374455621189
town_cum_txn,0.0069111855115260605
dist_to_nearest_mrt_km,0.006469644238514463
dist_to_nearest_poly_km,0.005238491902868085
dist_to_nearest_bus_interchange_km,0.005135467205815961
dist_to_nearest_mall_km,0.004856622372716697
block_cum_txn,0.0044654023261015505
dist_to_nearest_jc_km,0.003989185013323548
dist_to_nearest_supermarket_km,0.002917268335077981
dist_to_nearest_top_primary_km,0.002852936723636964
dist_to_nearest_hospital_km,0.0028257997005589615
dist_to_nearest_hawker_km,0.0025356706988531714
quarter,0.0021259428340133692
block_total_txn,0.0015965020574162919
total_amenities_within_1km,0.0013803897038674414
floor_premium_factor,0.0012666471194988046
lease_age,0.0012336828190059
floor_tier,0.0012204536297258169
block_year_rank_in_town,0.0009526392168760316
block_share_of_town_year,0.0008293034887453085
block_share_of_town_year_pct,0.0008087641589674097
supermarkets_within_1km,0.0007931001624769487
noise_score,0.0007908874843452372
block_year_txn,0.0005726876169141189
hawkers_within_1km,0.0004446143598971247
malls_within_1km,0.0003620054100241002
bus_interchanges_within_1km,0.00013891133391622786
within_3km_jc,0.00012901252291050878
hospitals_within_1km,0.00012381467681360137
is_very_old_estate,0.00012093455719652811
within_500m_supermarket,8.412257328524234e-05
within_1km_mrt,7.347876120809225e-05
within_1km_bus_interchange,6.573013329971542e-05
within_2km_bus_interchange,5.635123590711038e-05
within_5km_poly,5.4542532682467946e-05
is_mrt_influence_zone,5.3023758574418535e-05
within_1km_mall,5.1588279528710584e-05
within_1km_hospital,4.824576924510372e-05
within_500m_bus_interchange,4.6178520591416625e-05
within_500m_mrt,4.4966671980012226e-05
within_1km_top_primary,4.4482423337403224e-05
within_2km_top_secondary,4.137821011452028e-05
is_mature_estate,4.044115014214302e-05
within_2km_hospital,4.025558089519208e-05
within_2km_hawker,3.648716080336585e-05
within_500m_mall,3.53809253117137e-05
within_1km_hawker,3.451845521012416e-05
within_500m_hawker,3.4089224099351975e-05
within_2km_mall,2.9479350033802084e-05
within_5km_hospital,1.3111106864267742e-05
is_mrt_noise_zone,1.0009539285338298e-05
within_1km_supermarket,7.081070853706298e-06
is_high_mrt_noise_low_floor,5.429622322837762e-06
within_2km_supermarket,7.257075286178685e-09
